school_name,lng_wgs84,lat_wgs84
石家庄人民医学高等专科学校,114.4491229,37.99230167
河北正定师范高等专科学校,114.574559,38.168476
河北劳动关系职业学院,114.4514719,37.98796343
石家庄科技职业学院,114.6865161,38.0358284
沧州幼儿师范高等专科学校,116.5776,38.082711
宣化科技职业学院,115.0474079,40.61897379
廊坊燕京职业技术学院,116.9865436,39.96765123
承德护理职业学院,118.1675526,40.76667091
石家庄幼儿师范高等专科学校,114.3400861,38.04363288
廊坊卫生职业学院,116.7297127,39.60776928
河北轨道运输职业技术学院,114.6939077,38.01792323
保定幼儿师范高等专科学校,115.8038929,39.26631459
河北工艺美术职业学院,115.2495772,38.94262922
渤海理工职业学院,117.3082997,38.39200527
唐山幼儿师范高等专科学校,118.7550321,39.73762008
曹妃甸职业技术学院,118.5947296,39.1822705
承德应用技术职业学院,118.1675526,40.76667091
邯郸幼儿师范高等专科学校,114.1994572,36.65664574
邯郸科技职业学院,114.4147485,36.45329036
唐山海运职业学院,118.5899264,39.18613592
邢台应用技术职业学院,115.336114,36.994302
河北资源环境职业技术学院,114.41181,37.841806
山西大学,112.6422367,37.80207898
太原科技大学,112.4808722,37.87154736
中北大学,112.4391696,38.01214855
太原理工大学,112.5155803,37.8602643
山西农业大学,112.1556039,37.21102484
山西医科大学,112.5480854,37.8495545
长治医学院,113.1113987,36.17269229
山西师范大学,111.5006177,36.08110688
太原师范学院,112.6012883,37.78051235
山西大同大学,113.3470432,40.09356577
晋中学院,112.7146398,37.74025031
长治学院,113.1409179,36.18910245
运城学院,110.9265281,35.12477127
忻州师范学院,112.7206923,38.43084659
山西财经大学,112.5482552,37.839773
山西中医药大学,112.5237729,37.84242041
吕梁学院,111.1413032,37.58167448
太原学院,112.5393271,37.83545005
山西警察学院,112.5613739,37.70341646
山西应用科技学院,112.5712226,37.62318323
山西工程科技职业大学,112.710735,37.74812
山西工学院,112.453421,39.380884
晋中信息学院,112.579356,37.457115
山西师范大学现代文理学院,111.5450868,36.08544816
山西晋中理工学院,112.646197,37.682759
山西科技学院,112.950505,35.542435
山西医科大学晋祠学院,112.4223312,37.68572709
山西财经大学华商学院,112.5741849,37.77003418
山西工商学院,112.5372769,37.64418573
太原工业学院,112.5393561,37.95735953
运城职业技术大学,111.0031521,35.07312058
山西传媒学院,112.5419805,37.85783251
山西工程技术学院,113.6002714,37.88162518
山西能源学院,112.7312449,37.75119885
山西省财政税务专科学校,112.5108776,37.85156454
长治职业技术学院,113.111893,36.18339155
山西艺术职业学院,112.5673276,37.85210809
晋城职业技术学院,112.866689,35.48947348
山西药科职业学院,112.645049,37.77616726
大同煤炭职业技术学院,113.1775161,40.02192273
山西机电职业技术学院,113.1279598,36.20814634
山西财贸职业技术学院,112.565141,37.82072185
山西林业职业技术学院,112.5332038,37.89510477
山西水利职业技术学院,111.0288813,35.05375552
阳泉职业技术学院,113.6206811,37.88762075
临汾职业技术学院,111.5253941,36.10563154
山西职业技术学院,112.5772852,37.79518806
山西金融职业学院,112.5234832,37.95372354
太原城市职业技术学院,112.5788563,37.85432781
山西信息职业技术学院,111.5373991,36.12401534
山西体育职业学院,112.5573083,37.77967473
山西警官职业学院,112.5901915,37.82208267
山西国际商务职业学院,112.5947048,37.80935252
潞安职业技术学院,112.9843891,36.44144574
太原旅游职业学院,112.5937764,37.69315314
山西旅游职业学院,112.6141728,37.8040654
山西管理职业学院,111.5003324,36.14111265
山西电力职业技术学院,112.4849082,37.77659894
忻州职业技术学院,112.7286517,38.4709095
山西同文职业技术学院,111.8809084,37.03152588
晋中职业技术学院,112.7146235,37.68579666
山西华澳商贸职业学院,112.6335105,37.67144274
山西运城农业职业技术学院,110.9943886,35.02048581
运城幼儿师范高等专科学校,111.0577086,35.09892804
山西老区职业技术学院,112.5078994,37.90143008
山西经贸职业学院,112.5231307,37.83907564
朔州职业技术学院,112.4001237,39.30016051
山西铁道职业技术学院,112.6085351,37.88072106
晋中师范高等专科学校,112.7271152,37.72503952
阳泉师范高等专科学校,113.6122783,37.80094508
山西青年职业学院,112.5935135,37.69778259
运城护理职业学院,110.917344,35.11952177
运城师范高等专科学校,110.9126222,35.12887451
朔州师范高等专科学校,112.4497745,39.37541578
吕梁职业技术学院,111.7653708,37.1175258
大同师范高等专科学校,113.2208575,40.07580753
太原幼儿师范高等专科学校,112.4901743,37.56207855
山西工程职业学院,112.5430144,37.88036182
长治幼儿师范高等专科学校,113.073935,36.22260382
山西通用航空职业技术学院,113.3906492,39.93661503
朔州陶瓷职业技术学院,113.1061701,39.84649129
山西卫生健康职业学院,112.5725416,37.84339612
内蒙古大学,111.693422,40.81343136
内蒙古科技大学,109.8270574,40.61927561
内蒙古工业大学,111.5442742,40.78601119
内蒙古农业大学,111.6924697,40.80283102
内蒙古医科大学,111.4284573,40.74463138
内蒙古师范大学,111.7888049,40.49094746
内蒙古民族大学,122.2475169,43.62621966
赤峰学院,118.911277,42.2398591
内蒙古财经大学,111.6233694,40.85542317
呼伦贝尔学院,119.7718122,49.19882684
集宁师范学院,113.1386897,41.00825187
河套学院,107.4318963,40.7680682
呼和浩特民族学院,111.649532,40.84167947
内蒙古大学创业学院,111.6856514,40.74614201
内蒙古鸿德文理学院,111.7719855,40.85008901
内蒙古艺术学院,111.6934349,40.8289934
鄂尔多斯应用技术学院,109.9068523,39.80998597
内蒙古建筑职业技术学院,111.6279133,40.8720492
内蒙古丰州职业学院,111.7040039,40.80016603
包头职业技术学院,109.8707244,40.67736073
兴安职业技术学院,122.0575045,46.08221814
呼和浩特职业学院,111.8350836,40.89717332
包头轻工职业技术学院,110.1806258,40.56440159
内蒙古电子信息职业技术学院,111.8437768,40.89605069
内蒙古机电职业技术学院,111.8399989,40.9034899
内蒙古化工职业学院,111.8456109,40.90556022
内蒙古商贸职业学院,111.8508569,40.89760351
锡林郭勒职业学院,116.5055015,42.20429451
内蒙古警察职业学院,111.6881882,40.87059577
内蒙古体育职业学院,111.6671604,40.85785067
乌兰察布职业学院,113.1716616,40.97343547
通辽职业学院,122.2459325,43.67915432
